2026-02-28 17:37:35.215 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:35.221 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
2026-02-28 17:37:35.222 | INFO     | src.core.ocr_engine:extract_prices:97 - OCR Results: {'product_name': '', 'local_price': 3838, 'average_cost': None, 'quantity_owned': '', 'friend_price': None}
2026-02-28 17:37:35.326 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:35.327 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:35.401 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = ''
2026-02-28 17:37:35.418 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR local_price: extracted number = 3838
2026-02-28 17:37:35.425 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR average_cost: extracted number = None
2026-02-28 17:37:35.433 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:35.439 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
2026-02-28 17:37:35.440 | INFO     | src.core.ocr_engine:extract_prices:97 - OCR Results: {'product_name': '', 'local_price': 3838, 'average_cost': None, 'quantity_owned': '', 'friend_price': None}
2026-02-28 17:37:35.543 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:35.545 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:35.618 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = ''
2026-02-28 17:37:35.632 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR local_price: extracted number = 3838
2026-02-28 17:37:35.638 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR average_cost: extracted number = None
2026-02-28 17:37:35.645 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:35.652 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
2026-02-28 17:37:35.653 | INFO     | src.core.ocr_engine:extract_prices:97 - OCR Results: {'product_name': '', 'local_price': 3838, 'average_cost': None, 'quantity_owned': '', 'friend_price': None}
2026-02-28 17:37:35.757 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:35.758 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:35.825 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = ''
2026-02-28 17:37:35.842 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR local_price: extracted number = 3838
2026-02-28 17:37:35.849 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR average_cost: extracted number = None
2026-02-28 17:37:35.857 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:35.863 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
2026-02-28 17:37:35.865 | INFO     | src.core.ocr_engine:extract_prices:97 - OCR Results: {'product_name': '', 'local_price': 3838, 'average_cost': None, 'quantity_owned': '', 'friend_price': None}
2026-02-28 17:37:35.969 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:35.970 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:36.039 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = ''
2026-02-28 17:37:36.056 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR local_price: extracted number = 3838
2026-02-28 17:37:36.063 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR average_cost: extracted number = None
2026-02-28 17:37:36.070 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:36.077 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
2026-02-28 17:37:36.078 | INFO     | src.core.ocr_engine:extract_prices:97 - OCR Results: {'product_name': '', 'local_price': 3838, 'average_cost': None, 'quantity_owned': '', 'friend_price': None}
2026-02-28 17:37:36.181 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:36.182 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:36.248 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = ''
2026-02-28 17:37:36.261 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR local_price: extracted number = 3838
2026-02-28 17:37:36.269 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR average_cost: extracted number = None
2026-02-28 17:37:36.275 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:36.282 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
2026-02-28 17:37:36.284 | INFO     | src.core.ocr_engine:extract_prices:97 - OCR Results: {'product_name': '', 'local_price': 3838, 'average_cost': None, 'quantity_owned': '', 'friend_price': None}
2026-02-28 17:37:36.388 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:36.389 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:36.461 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = ''
2026-02-28 17:37:36.477 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR local_price: extracted number = 3838
2026-02-28 17:37:36.484 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR average_cost: extracted number = None
2026-02-28 17:37:36.493 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:36.500 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
2026-02-28 17:37:36.502 | INFO     | src.core.ocr_engine:extract_prices:97 - OCR Results: {'product_name': '', 'local_price': 3838, 'average_cost': None, 'quantity_owned': '', 'friend_price': None}
2026-02-28 17:37:36.605 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:36.606 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:36.673 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = ''
2026-02-28 17:37:36.689 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR local_price: extracted number = 3838
2026-02-28 17:37:36.697 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR average_cost: extracted number = None
2026-02-28 17:37:36.704 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:36.709 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
